# SPDX-FileCopyrightText: 2026 Tom Haynes <loghyr@gmail.com>
# SPDX-License-Identifier: AGPL-3.0-or-later
round,layout,codec,k,m,size_mb,delay_ms,a_rc,b_rc,a_stripes_ok,a_first_fail_stripe,b_stripes_ok,final_winner,mixed_diff_a,mixed_diff_b
1,v2,rs,4,2,100,500,0,0,38400,NA,38400,READ_FAILED,NA,NA
2,v2,rs,4,2,100,500,0,1,38400,NA,12823,MIXED,34879742,69568763
3,v2,rs,4,2,100,500,0,1,38400,NA,6181,MIXED,16813508,87634040
4,v2,rs,4,2,100,500,1,0,34830,5805,38400,B,NA,NA
5,v2,rs,4,2,100,500,0,0,38400,NA,38400,READ_FAILED,NA,NA
6,v2,rs,4,2,100,500,0,0,38400,NA,38400,READ_FAILED,NA,NA
7,v2,rs,4,2,100,500,1,0,36098,6016,38400,B,NA,NA
8,v2,rs,4,2,100,500,0,0,38400,NA,38400,READ_FAILED,NA,NA
9,v2,rs,4,2,100,500,0,0,38400,NA,38400,READ_FAILED,NA,NA
10,v2,rs,4,2,100,500,0,0,38400,NA,38400,READ_FAILED,NA,NA
11,v2,rs,4,2,100,500,0,0,38400,NA,38400,READ_FAILED,NA,NA
12,v2,rs,4,2,100,500,0,0,38400,NA,38400,READ_FAILED,NA,NA
13,v2,rs,4,2,100,500,0,0,38400,NA,38400,READ_FAILED,NA,NA
14,v2,rs,4,2,100,500,1,0,20174,3362,38400,B,NA,NA
15,v2,rs,4,2,100,500,0,1,38400,NA,29729,MIXED,80866569,23583021
16,v2,rs,4,2,100,500,0,0,38400,NA,38400,READ_FAILED,NA,NA
17,v2,rs,4,2,100,500,1,0,18667,3111,38400,B,NA,NA
18,v2,rs,4,2,100,500,0,0,38400,NA,38400,READ_FAILED,NA,NA
19,v2,rs,4,2,100,500,0,1,38400,NA,27156,MIXED,73864097,30583448
20,v2,rs,4,2,100,500,0,0,38400,NA,38400,READ_FAILED,NA,NA
