# SPDX-FileCopyrightText: 2026 Tom Haynes <loghyr@gmail.com>
# SPDX-License-Identifier: AGPL-3.0-or-later
codec,geom,file_size,run,write_ms,read_ms,verify,mode,layout,cpu,shard_size,simd_mode
codec,geometry,size_bytes,run,write_ms,read_ms,verify,mode,layout,arch,cpu,kernel,simd,simd
plain,1+0,65536,1,26,14,OK,healthy,v1,aarch64,,6.19.8-200.fc43.aarch64,neon,4096,simd
stripe,10+0,65536,1,31,22,OK,healthy,v1,aarch64,,6.19.8-200.fc43.aarch64,neon,simd
rs,4+2,65536,1,35,24,OK,healthy,v1,aarch64,,6.19.8-200.fc43.aarch64,neon,4096,simd
mojette-sys,4+2,65536,1,35,22,OK,healthy,v1,aarch64,,6.19.8-200.fc43.aarch64,neon,4096,simd
mojette-nonsys,4+2,65536,1,32,32,OK,healthy,v1,aarch64,,6.19.8-200.fc43.aarch64,neon,4096,simd
rs,8+2,65536,1,32,22,OK,healthy,v1,aarch64,,6.19.8-200.fc43.aarch64,neon,4096,simd
mojette-sys,8+2,65536,1,30,22,OK,healthy,v1,aarch64,,6.19.8-200.fc43.aarch64,neon,4096,simd
mojette-nonsys,8+2,65536,1,35,43,OK,healthy,v1,aarch64,,6.19.8-200.fc43.aarch64,neon,4096,simd
plain,1+0,65536,2,26,13,OK,healthy,v1,aarch64,,6.19.8-200.fc43.aarch64,neon,4096,simd
stripe,10+0,65536,2,32,22,OK,healthy,v1,aarch64,,6.19.8-200.fc43.aarch64,neon,simd
rs,4+2,65536,2,35,23,OK,healthy,v1,aarch64,,6.19.8-200.fc43.aarch64,neon,4096,simd
mojette-sys,4+2,65536,2,35,22,OK,healthy,v1,aarch64,,6.19.8-200.fc43.aarch64,neon,4096,simd
mojette-nonsys,4+2,65536,2,32,33,OK,healthy,v1,aarch64,,6.19.8-200.fc43.aarch64,neon,4096,simd
rs,8+2,65536,2,33,23,OK,healthy,v1,aarch64,,6.19.8-200.fc43.aarch64,neon,4096,simd
mojette-sys,8+2,65536,2,34,22,OK,healthy,v1,aarch64,,6.19.8-200.fc43.aarch64,neon,4096,simd
mojette-nonsys,8+2,65536,2,31,41,OK,healthy,v1,aarch64,,6.19.8-200.fc43.aarch64,neon,4096,simd
plain,1+0,65536,3,26,14,OK,healthy,v1,aarch64,,6.19.8-200.fc43.aarch64,neon,4096,simd
stripe,10+0,65536,3,33,23,OK,healthy,v1,aarch64,,6.19.8-200.fc43.aarch64,neon,simd
rs,4+2,65536,3,34,23,OK,healthy,v1,aarch64,,6.19.8-200.fc43.aarch64,neon,4096,simd
mojette-sys,4+2,65536,3,35,24,OK,healthy,v1,aarch64,,6.19.8-200.fc43.aarch64,neon,4096,simd
mojette-nonsys,4+2,65536,3,34,34,OK,healthy,v1,aarch64,,6.19.8-200.fc43.aarch64,neon,4096,simd
rs,8+2,65536,3,34,23,OK,healthy,v1,aarch64,,6.19.8-200.fc43.aarch64,neon,4096,simd
mojette-sys,8+2,65536,3,31,23,OK,healthy,v1,aarch64,,6.19.8-200.fc43.aarch64,neon,4096,simd
mojette-nonsys,8+2,65536,3,32,41,OK,healthy,v1,aarch64,,6.19.8-200.fc43.aarch64,neon,4096,simd
plain,1+0,65536,4,27,15,OK,healthy,v1,aarch64,,6.19.8-200.fc43.aarch64,neon,4096,simd
stripe,10+0,65536,4,31,21,OK,healthy,v1,aarch64,,6.19.8-200.fc43.aarch64,neon,simd
rs,4+2,65536,4,36,24,OK,healthy,v1,aarch64,,6.19.8-200.fc43.aarch64,neon,4096,simd
mojette-sys,4+2,65536,4,37,27,OK,healthy,v1,aarch64,,6.19.8-200.fc43.aarch64,neon,4096,simd
mojette-nonsys,4+2,65536,4,33,33,OK,healthy,v1,aarch64,,6.19.8-200.fc43.aarch64,neon,4096,simd
rs,8+2,65536,4,33,23,OK,healthy,v1,aarch64,,6.19.8-200.fc43.aarch64,neon,4096,simd
mojette-sys,8+2,65536,4,34,22,OK,healthy,v1,aarch64,,6.19.8-200.fc43.aarch64,neon,4096,simd
mojette-nonsys,8+2,65536,4,33,42,OK,healthy,v1,aarch64,,6.19.8-200.fc43.aarch64,neon,4096,simd
plain,1+0,65536,5,25,14,OK,healthy,v1,aarch64,,6.19.8-200.fc43.aarch64,neon,4096,simd
stripe,10+0,65536,5,33,22,OK,healthy,v1,aarch64,,6.19.8-200.fc43.aarch64,neon,simd
rs,4+2,65536,5,33,24,OK,healthy,v1,aarch64,,6.19.8-200.fc43.aarch64,neon,4096,simd
mojette-sys,4+2,65536,5,37,24,OK,healthy,v1,aarch64,,6.19.8-200.fc43.aarch64,neon,4096,simd
mojette-nonsys,4+2,65536,5,33,33,OK,healthy,v1,aarch64,,6.19.8-200.fc43.aarch64,neon,4096,simd
rs,8+2,65536,5,33,22,OK,healthy,v1,aarch64,,6.19.8-200.fc43.aarch64,neon,4096,simd
mojette-sys,8+2,65536,5,33,22,OK,healthy,v1,aarch64,,6.19.8-200.fc43.aarch64,neon,4096,simd
mojette-nonsys,8+2,65536,5,34,41,OK,healthy,v1,aarch64,,6.19.8-200.fc43.aarch64,neon,4096,simd
plain,1+0,262144,1,40,30,OK,healthy,v1,aarch64,,6.19.8-200.fc43.aarch64,neon,4096,simd
stripe,10+0,262144,1,50,39,OK,healthy,v1,aarch64,,6.19.8-200.fc43.aarch64,neon,simd
rs,4+2,262144,1,64,48,OK,healthy,v1,aarch64,,6.19.8-200.fc43.aarch64,neon,4096,simd
mojette-sys,4+2,262144,1,63,50,OK,healthy,v1,aarch64,,6.19.8-200.fc43.aarch64,neon,4096,simd
mojette-nonsys,4+2,262144,1,66,97,OK,healthy,v1,aarch64,,6.19.8-200.fc43.aarch64,neon,4096,simd
rs,8+2,262144,1,73,58,OK,healthy,v1,aarch64,,6.19.8-200.fc43.aarch64,neon,4096,simd
mojette-sys,8+2,262144,1,58,41,OK,healthy,v1,aarch64,,6.19.8-200.fc43.aarch64,neon,4096,simd
mojette-nonsys,8+2,262144,1,58,120,OK,healthy,v1,aarch64,,6.19.8-200.fc43.aarch64,neon,4096,simd
plain,1+0,262144,2,38,30,OK,healthy,v1,aarch64,,6.19.8-200.fc43.aarch64,neon,4096,simd
stripe,10+0,262144,2,50,40,OK,healthy,v1,aarch64,,6.19.8-200.fc43.aarch64,neon,simd
rs,4+2,262144,2,65,52,OK,healthy,v1,aarch64,,6.19.8-200.fc43.aarch64,neon,4096,simd
mojette-sys,4+2,262144,2,64,49,OK,healthy,v1,aarch64,,6.19.8-200.fc43.aarch64,neon,4096,simd
mojette-nonsys,4+2,262144,2,63,89,OK,healthy,v1,aarch64,,6.19.8-200.fc43.aarch64,neon,4096,simd
rs,8+2,262144,2,54,44,OK,healthy,v1,aarch64,,6.19.8-200.fc43.aarch64,neon,4096,simd
mojette-sys,8+2,262144,2,55,39,OK,healthy,v1,aarch64,,6.19.8-200.fc43.aarch64,neon,4096,simd
mojette-nonsys,8+2,262144,2,56,122,OK,healthy,v1,aarch64,,6.19.8-200.fc43.aarch64,neon,4096,simd
plain,1+0,262144,3,39,30,OK,healthy,v1,aarch64,,6.19.8-200.fc43.aarch64,neon,4096,simd
stripe,10+0,262144,3,46,36,OK,healthy,v1,aarch64,,6.19.8-200.fc43.aarch64,neon,simd
rs,4+2,262144,3,61,48,OK,healthy,v1,aarch64,,6.19.8-200.fc43.aarch64,neon,4096,simd
mojette-sys,4+2,262144,3,60,47,OK,healthy,v1,aarch64,,6.19.8-200.fc43.aarch64,neon,4096,simd
mojette-nonsys,4+2,262144,3,60,87,OK,healthy,v1,aarch64,,6.19.8-200.fc43.aarch64,neon,4096,simd
rs,8+2,262144,3,63,43,OK,healthy,v1,aarch64,,6.19.8-200.fc43.aarch64,neon,4096,simd
mojette-sys,8+2,262144,3,59,44,OK,healthy,v1,aarch64,,6.19.8-200.fc43.aarch64,neon,4096,simd
mojette-nonsys,8+2,262144,3,57,121,OK,healthy,v1,aarch64,,6.19.8-200.fc43.aarch64,neon,4096,simd
plain,1+0,262144,4,41,30,OK,healthy,v1,aarch64,,6.19.8-200.fc43.aarch64,neon,4096,simd
stripe,10+0,262144,4,54,40,OK,healthy,v1,aarch64,,6.19.8-200.fc43.aarch64,neon,simd
rs,4+2,262144,4,63,48,OK,healthy,v1,aarch64,,6.19.8-200.fc43.aarch64,neon,4096,simd
mojette-sys,4+2,262144,4,62,43,OK,healthy,v1,aarch64,,6.19.8-200.fc43.aarch64,neon,4096,simd
mojette-nonsys,4+2,262144,4,60,89,OK,healthy,v1,aarch64,,6.19.8-200.fc43.aarch64,neon,4096,simd
rs,8+2,262144,4,57,44,OK,healthy,v1,aarch64,,6.19.8-200.fc43.aarch64,neon,4096,simd
mojette-sys,8+2,262144,4,58,44,OK,healthy,v1,aarch64,,6.19.8-200.fc43.aarch64,neon,4096,simd
mojette-nonsys,8+2,262144,4,56,121,OK,healthy,v1,aarch64,,6.19.8-200.fc43.aarch64,neon,4096,simd
plain,1+0,262144,5,38,28,OK,healthy,v1,aarch64,,6.19.8-200.fc43.aarch64,neon,4096,simd
stripe,10+0,262144,5,51,40,OK,healthy,v1,aarch64,,6.19.8-200.fc43.aarch64,neon,simd
rs,4+2,262144,5,64,49,OK,healthy,v1,aarch64,,6.19.8-200.fc43.aarch64,neon,4096,simd
mojette-sys,4+2,262144,5,63,45,OK,healthy,v1,aarch64,,6.19.8-200.fc43.aarch64,neon,4096,simd
mojette-nonsys,4+2,262144,5,63,90,OK,healthy,v1,aarch64,,6.19.8-200.fc43.aarch64,neon,4096,simd
rs,8+2,262144,5,55,44,OK,healthy,v1,aarch64,,6.19.8-200.fc43.aarch64,neon,4096,simd
mojette-sys,8+2,262144,5,61,40,OK,healthy,v1,aarch64,,6.19.8-200.fc43.aarch64,neon,4096,simd
mojette-nonsys,8+2,262144,5,57,121,OK,healthy,v1,aarch64,,6.19.8-200.fc43.aarch64,neon,4096,simd
plain,1+0,1048576,1,104,94,OK,healthy,v1,aarch64,,6.19.8-200.fc43.aarch64,neon,4096,simd
stripe,10+0,1048576,1,197,113,OK,healthy,v1,aarch64,,6.19.8-200.fc43.aarch64,neon,simd
rs,4+2,1048576,1,181,146,OK,healthy,v1,aarch64,,6.19.8-200.fc43.aarch64,neon,4096,simd
mojette-sys,4+2,1048576,1,190,147,OK,healthy,v1,aarch64,,6.19.8-200.fc43.aarch64,neon,4096,simd
mojette-nonsys,4+2,1048576,1,174,307,OK,healthy,v1,aarch64,,6.19.8-200.fc43.aarch64,neon,4096,simd
rs,8+2,1048576,1,148,126,OK,healthy,v1,aarch64,,6.19.8-200.fc43.aarch64,neon,4096,simd
mojette-sys,8+2,1048576,1,152,131,OK,healthy,v1,aarch64,,6.19.8-200.fc43.aarch64,neon,4096,simd
mojette-nonsys,8+2,1048576,1,170,443,OK,healthy,v1,aarch64,,6.19.8-200.fc43.aarch64,neon,4096,simd
plain,1+0,1048576,2,104,94,OK,healthy,v1,aarch64,,6.19.8-200.fc43.aarch64,neon,4096,simd
stripe,10+0,1048576,2,120,104,OK,healthy,v1,aarch64,,6.19.8-200.fc43.aarch64,neon,simd
rs,4+2,1048576,2,171,145,OK,healthy,v1,aarch64,,6.19.8-200.fc43.aarch64,neon,4096,simd
mojette-sys,4+2,1048576,2,176,143,OK,healthy,v1,aarch64,,6.19.8-200.fc43.aarch64,neon,4096,simd
mojette-nonsys,4+2,1048576,2,174,308,OK,healthy,v1,aarch64,,6.19.8-200.fc43.aarch64,neon,4096,simd
rs,8+2,1048576,2,149,124,OK,healthy,v1,aarch64,,6.19.8-200.fc43.aarch64,neon,4096,simd
